StructuredCallEntryID,Exchange,ExchSegment,ScripCode,Price,StopLoss,TargetPrice,Validity,RRRValue,InternalRemark,Header,CallType,CategoryID,SubCategoryID,UserID,InsertionTime,IsActive,Attachment,Status,StatusDescreption,BuySell,SendTo,ScripName,ImageURL,ModifiedDT,LastTradedPrice,CallClosedBy,CallClosedDT,CallClosedLTP
8,NSE,EQUITY,2885,2480.00,2400,2500.00,05-08-2023 00:00:00,NA,,test vikrant,Calls,1,6,8,08-05-2023 15:33:54,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",RELIANCE,,01-01-1900 00:00:00,0.00,,,0.00
9,NSE,EQUITY,2885,2400.00,2300,2500.00,05-08-2023 00:00:00,NA,,test123,Calls,1,6,8,08-05-2023 15:35:15,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",RELIANCE,,01-01-1900 00:00:00,0.00,,,0.00
10,NSE,EQUITY,10,39.00,38,42.00,05-08-2023 00:00:00,NA,,VIkrant Testing,Calls,2,9,8,08-05-2023 15:39:07,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ABAN,,01-01-1900 00:00:00,0.00,,,0.00
11,NSE,EQUITY,10,37.00,36,42.00,05-08-2023 00:00:00,NA,,aban call,Calls,2,9,8,08-05-2023 15:40:27,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ABAN,,01-01-1900 00:00:00,0.00,,,0.00
18,NSE,EQUITY,1594,100.00,100,100.00,01-01-2023 00:00:00,NA,,Infosys Test,Calls,1,6,6,13-05-2023 12:08:02,False,,Open,,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",INFY,,01-01-1900 00:00:00,0.00,,,0.00
35,NSE,EQUITY,1,1928.00,0.0,1921.95,05-05-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,15-05-2023 15:58:01,False,,Open,AIS Call Description,SELL,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLDSTAR,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
36,MCX,FUTCOMM,243149,60883.00,55000.00,90000.00,06-05-2023 00:00:00,NA,Remark,COMM call,Calls,2,9,6,15-05-2023 16:01:43,False,,Open,GOLDDDDD,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLD 05 Jun 2023,,01-01-1900 00:00:00,0.00,,,0.00
37,MCX,FUTCOMM,243149,60883.00,55800.00,95630.00,06-05-2023 00:00:00,NA,Remark,GOLDDDDD,Calls,2,10,6,15-05-2023 16:03:38,False,,Open,GOLD BUY,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",GOLD 05 Jun 2023,,01-01-1900 00:00:00,0.00,,,0.00
42,NSE,EQUITY,25,1928.00,0.0,1921.95,05-02-2023 00:00:00,NA,AIS CALL,AIS CALL,AIS,3,6,9,16-05-2023 12:26:15,False,,Open,AIS Call Description,SELL,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ADANIENT,https://researchpublic.s3.amazonaws.com/AIS2Intell,01-01-1900 00:00:00,0.00,,,0.00
199,NSE,EQUITY,22,123.00,123,123.00,07-12-2023 00:00:00,NA,Test With Aakash,Test With Aakash,Calls,1,6,6,12-07-2023 14:58:37,False,,Open,Test With Aakash,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
218,NSE,OPT,35000,213.00,213,224.00,08-02-2023 00:00:00,NA,Test For Options 2,Test For Options 2,Calls,1,6,6,02-08-2023 12:45:00,False,,Open,Test For Options 2,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BANKNIFTY 10 Aug 2023 CE 33000.00,,01-01-1900 00:00:00,0.00,,,0.00
219,NSE,OPT,35000,123.00,123,123.00,08-02-2023 00:00:00,NA,Test For Option 2 ,Test For Option 2 ,Calls,1,6,6,02-08-2023 12:45:57,False,,Open,Test For Option 2 ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",BANKNIFTY 10 Aug 2023 CE 33000.00,,01-01-1900 00:00:00,0.00,,,0.00
223,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,Research Notification Test for ios ,Research Notification Test for ios ,Calls,1,6,6,04-08-2023 10:38:37,False,,Open,Research Notification Test for ios ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
224,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,Test for Notifiction ,Test for Notifiction ,Calls,1,6,6,04-08-2023 16:17:05,False,,Open,Test for Notifiction ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
225,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,Test For Notification 2,Test For Notification 2,Calls,1,6,6,04-08-2023 16:18:52,False,,Open,Test For Notification 2,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
226,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,Research notification 2 ,Research notification 2 ,Calls,1,6,6,04-08-2023 17:39:27,False,,Open,Research notification 2 ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
227,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,123,Test 2 Notifiacation ,Calls,1,6,6,04-08-2023 17:40:23,False,,Open,Test 2 Notifiacation ,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
228,NSE,EQUITY,22,123.00,123,123.00,08-04-2023 00:00:00,NA,Test for notification 3,Test for notification 3,Calls,1,6,6,04-08-2023 17:41:54,False,,Open,Test for notification 3,Buy,"Android,IOS,Exe,Web,WhatsApp,SMS,Email",ACC,,01-01-1900 00:00:00,0.00,,,0.00
